group_id,group_name,customer_id,line_of_business,vendor_code,effective_date,expiration_date,opt_in_flag,life_count
GRP1001,Wayne Industries,CID54012,CSF,VND-1221,2023-10-17,2025-11-09,Y,4482
GRP1002,Acme Health,CID51535,CSF,VND-1221,2022-03-31,,Y,4612
GRP1003,Wayne LLC,CID56873,CSF,VND-1592,2022-07-23,,Y,68
GRP1004,Wayne Corp,CID55574,TPA,VND-1221,2024-02-17,,N,2772
GRP1005,Acme Industries,CID55635,TPA,VND-1221,2022-04-15,2024-11-10,Y,3115
GRP1006,Soylent LLC,CID55925,CSF,VND-1221,2022-03-22,,Y,1881
GRP1007,Acme Group,CID51654,FEP,VND-1592,2024-03-02,2025-06-09,Y,1347
GRP1008,Wayne Industries,CID51169,CSF,VND-1221,2023-01-15,,N,3801
GRP1009,Wayne LLC,CID53598,TPA,VND-1221,2023-01-24,2024-05-07,Y,2599
GRP1010,Globex LLC,CID55155,CSF,VND-1592,2023-02-15,2025-05-05,Y,1185
GRP1011,Wayne LLC,CID58830,TPA,VND-1592,2022-09-29,2024-12-24,Y,1811
GRP1012,Acme Health,CID51796,CSF,VND-1221,2022-05-22,,Y,4900
GRP1013,Stark Corp,CID58669,TPA,VND-1221,2022-03-07,,Y,4413
GRP1014,Wayne Industries,CID51827,TPA,VND-1592,2024-02-08,2024-07-18,Y,41
GRP1015,Initech LLC,CID52927,CFI,VND-1592,2024-01-10,,N,1267
